"table","column","property","type","nullable","status","table_purpose","assessment","schema","introduced_in","read_evidence","write_evidence","review_evidence","database_dependencies"
"accounts","id_token","idToken","text","true","FRAMEWORK","Credential and OIDC account identities, passwords and provider tokens.","Better Auth core model/adapter owns this field; absence from application queries does not make it unused.","packages/db/src/schema/auth.ts:150","0000_auth","","","apps/api/src/auth/instance.ts:216; apps/api/node_modules/better-auth/dist/db/internal-adapter.mjs",""
"accounts","created_at","createdAt","timestamp with time zone","false","FRAMEWORK","Credential and OIDC account identities, passwords and provider tokens.","Better Auth core model/adapter owns this field; absence from application queries does not make it unused.","packages/db/src/schema/auth.ts:151","0000_auth","","","apps/api/src/auth/instance.ts:216; apps/api/node_modules/better-auth/dist/db/internal-adapter.mjs",""
"accounts","updated_at","updatedAt","timestamp with time zone","false","FRAMEWORK","Credential and OIDC account identities, passwords and provider tokens.","Better Auth core model/adapter owns this field; absence from application queries does not make it unused.","packages/db/src/schema/auth.ts:152","0000_auth","","","apps/api/src/auth/instance.ts:216; apps/api/node_modules/better-auth/dist/db/internal-adapter.mjs",""
"activity_log","id","id","text","false","ACTIVE","Append-only activity feeds and administrator audit history.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/activity.ts:42","0004_activity_log","apps/api/src/pipeline/contract-analysis.ts:318; apps/api/src/modules/audit-log/routes.ts:190; apps/api/src/modules/audit-log/routes.ts:269; apps/api/src/modules/audit-log/routes.ts:270; apps/api/src/modules/audit-log/routes.ts:272","","apps/api/src/pipeline/contract-analysis.ts:318; apps/api/src/modules/audit-log/routes.ts:190; apps/api/src/modules/audit-log/routes.ts:269; apps/api/src/modules/audit-log/routes.ts:270","index:activity_log_entity_idx; index:activity_log_created_at_idx; foreign_key:activity_log_actor_id_users_id_fk; primary_key:activity_log_pkey"
"activity_log","entity_type","entityType","text","false","ACTIVE","Append-only activity feeds and administrator audit history.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/activity.ts:43","0004_activity_log","apps/api/src/pipeline/contract-analysis.ts:322; apps/api/src/pipeline/morning-round.ts:788; apps/api/src/modules/audit-log/routes.ts:192; apps/api/src/modules/audit-log/routes.ts:235; apps/api/src/modules/audit-log/routes.ts:296","","apps/api/src/pipeline/contract-analysis.ts:322; apps/api/src/pipeline/morning-round.ts:788; apps/api/src/modules/audit-log/routes.ts:192; apps/api/src/modules/audit-log/routes.ts:235","index:activity_log_entity_idx; check:activity_log_entity_type_check"
"activity_log","entity_id","entityId","text","true","ACTIVE","Append-only activity feeds and administrator audit history.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/activity.ts:48","0004_activity_log","apps/api/src/pipeline/contract-analysis.ts:323; apps/api/src/pipeline/morning-round.ts:789; apps/api/src/modules/audit-log/routes.ts:193; apps/api/src/modules/audit-log/routes.ts:243; apps/api/src/modules/audit-log/routes.ts:300","","apps/api/src/pipeline/contract-analysis.ts:323; apps/api/src/pipeline/morning-round.ts:789; apps/api/src/modules/audit-log/routes.ts:193; apps/api/src/modules/audit-log/routes.ts:243","index:activity_log_entity_idx"
"activity_log","actor_id","actorId","text","true","ACTIVE","Append-only activity feeds and administrator audit history.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/activity.ts:50","0004_activity_log","apps/api/src/modules/audit-log/routes.ts:233; apps/api/src/modules/audit-log/routes.ts:392; apps/api/src/modules/activity/routes.ts:261; apps/api/src/modules/contracts/routes.ts:1201; apps/api/src/lib/activity.ts:212","","apps/api/src/modules/audit-log/routes.ts:233; apps/api/src/modules/audit-log/routes.ts:392; apps/api/src/modules/activity/routes.ts:261; apps/api/src/modules/contracts/routes.ts:1201","index:activity_log_actor_idx; foreign_key:activity_log_actor_id_users_id_fk"
"activity_log","action","action","text","false","ACTIVE","Append-only activity feeds and administrator audit history.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/activity.ts:52","0004_activity_log","apps/api/src/pipeline/contract-analysis.ts:326; apps/api/src/pipeline/contract-analysis.ts:330; apps/api/src/pipeline/morning-round.ts:790; apps/api/src/modules/audit-log/routes.ts:191; apps/api/src/modules/audit-log/routes.ts:234","","apps/api/src/pipeline/contract-analysis.ts:326; apps/api/src/pipeline/contract-analysis.ts:330; apps/api/src/pipeline/morning-round.ts:790; apps/api/src/modules/audit-log/routes.ts:191","index:activity_log_action_idx; foreign_key:activity_log_actor_id_users_id_fk"
"activity_log","visibility","visibility","text","false","ACTIVE","Append-only activity feeds and administrator audit history.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/activity.ts:53","0004_activity_log","apps/api/src/modules/audit-log/routes.ts:194; apps/api/src/modules/activity/routes.ts:249; apps/api/src/modules/activity/routes.ts:266; apps/api/src/lib/activity.ts:129; apps/api/src/lib/activity.ts:138","","apps/api/src/modules/audit-log/routes.ts:194; apps/api/src/modules/activity/routes.ts:249; apps/api/src/modules/activity/routes.ts:266; apps/api/src/lib/activity.ts:129","check:activity_log_visibility_check"
"activity_log","payload","payload","jsonb","false","ACTIVE","Append-only activity feeds and administrator audit history.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/activity.ts:55","0004_activity_log","apps/api/src/lib/contract-access.ts:617; apps/api/src/lib/contract-access.ts:620; apps/api/src/pipeline/contract-analysis.ts:327; apps/api/src/pipeline/contract-analysis.ts:331; apps/api/src/modules/audit-log/routes.ts:196","","apps/api/src/lib/contract-access.ts:617; apps/api/src/lib/contract-access.ts:620; apps/api/src/pipeline/contract-analysis.ts:327; apps/api/src/pipeline/contract-analysis.ts:331",""
"activity_log","created_at","createdAt","timestamp with time zone","false","ACTIVE","Append-only activity feeds and administrator audit history.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/activity.ts:56","0004_activity_log","apps/api/src/pipeline/morning-round.ts:784; apps/api/src/pipeline/morning-round.ts:793; apps/api/src/modules/audit-log/routes.ts:195; apps/api/src/modules/audit-log/routes.ts:236; apps/api/src/modules/audit-log/routes.ts:237","","apps/api/src/pipeline/morning-round.ts:784; apps/api/src/pipeline/morning-round.ts:793; apps/api/src/modules/audit-log/routes.ts:195; apps/api/src/modules/audit-log/routes.ts:236","index:activity_log_entity_idx; index:activity_log_actor_idx; index:activity_log_action_idx; index:activity_log_created_at_idx"
"ai_connector","id","id","text","false","ACTIVE","Runtime AI credentials, provider selection and preparation switches.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/ai-connector.ts:33","0085_loud_scourge","packages/db/src/rewrap.ts:82; apps/api/src/modules/ai-connector/routes.ts:204; apps/api/src/modules/ai-connector/routes.ts:275; apps/api/src/modules/ai-connector/routes.ts:402; apps/api/src/modules/ai-connector/routes.ts:436","","packages/db/src/rewrap.ts:82; apps/api/src/modules/ai-connector/routes.ts:204; apps/api/src/modules/ai-connector/routes.ts:275; apps/api/src/modules/ai-connector/routes.ts:402","primary_key:ai_connector_pkey"
"ai_connector","preset","preset","text","false","ACTIVE","Runtime AI credentials, provider selection and preparation switches.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/ai-connector.ts:34","0085_loud_scourge","apps/api/src/pipeline/conversion-analysis.ts:49; apps/api/src/lib/ai/resolver.ts:28; apps/api/src/lib/ai/resolver.ts:37; apps/api/src/modules/ai-connector/routes.ts:100; apps/api/src/modules/ai-connector/routes.ts:147","","apps/api/src/pipeline/conversion-analysis.ts:49; apps/api/src/lib/ai/resolver.ts:28; apps/api/src/lib/ai/resolver.ts:37; apps/api/src/modules/ai-connector/routes.ts:100","check:ai_connector_preset_check"
"ai_connector","protocol","protocol","text","false","ACTIVE","Runtime AI credentials, provider selection and preparation switches.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/ai-connector.ts:35","0085_loud_scourge","apps/api/src/lib/ai/resolver.ts:29; apps/api/src/lib/ai/resolver.ts:38; apps/api/src/modules/ai-connector/routes.ts:101; apps/api/src/modules/ai-connector/routes.ts:147; apps/api/src/modules/ai-connector/routes.ts:473","","apps/api/src/lib/ai/resolver.ts:29; apps/api/src/lib/ai/resolver.ts:38; apps/api/src/modules/ai-connector/routes.ts:101; apps/api/src/modules/ai-connector/routes.ts:147","check:ai_connector_protocol_check"
"ai_connector","base_url","baseUrl","text","false","ACTIVE","Runtime AI credentials, provider selection and preparation switches.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/ai-connector.ts:36","0085_loud_scourge","apps/api/src/lib/ai/resolver.ts:30; apps/api/src/lib/ai/resolver.ts:39; apps/api/src/modules/ai-connector/routes.ts:102; apps/api/src/modules/ai-connector/routes.ts:156; apps/api/src/modules/ai-connector/routes.ts:474","","apps/api/src/lib/ai/resolver.ts:30; apps/api/src/lib/ai/resolver.ts:39; apps/api/src/modules/ai-connector/routes.ts:102; apps/api/src/modules/ai-connector/routes.ts:156",""
"ai_connector","api_key","apiKey","text","true","ACTIVE","Runtime AI credentials, provider selection and preparation switches.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/ai-connector.ts:38","0085_loud_scourge","apps/api/src/lib/ai/resolver.ts:31; apps/api/src/lib/ai/resolver.ts:40; apps/api/src/modules/ai-connector/routes.ts:103; apps/api/src/modules/ai-connector/routes.ts:264; apps/api/src/modules/ai-connector/routes.ts:272","apps/api/src/modules/ai-connector/routes.ts:248; apps/api/src/modules/ai-connector/routes.ts:272","apps/api/src/lib/ai/resolver.ts:31; apps/api/src/lib/ai/resolver.ts:40; apps/api/src/modules/ai-connector/routes.ts:103; apps/api/src/modules/ai-connector/routes.ts:264",""
"ai_connector","model","model","text","false","ACTIVE","Runtime AI credentials, provider selection and preparation switches.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/ai-connector.ts:39","0085_loud_scourge","apps/api/src/pipeline/conversion-analysis.ts:50; apps/api/src/lib/ai/resolver.ts:32; apps/api/src/lib/ai/resolver.ts:41; apps/api/src/modules/ai-connector/routes.ts:104; apps/api/src/modules/ai-connector/routes.ts:475","","apps/api/src/pipeline/conversion-analysis.ts:50; apps/api/src/lib/ai/resolver.ts:32; apps/api/src/lib/ai/resolver.ts:41; apps/api/src/modules/ai-connector/routes.ts:104",""
"ai_connector","contract_conversion_analysis","contractConversionAnalysis","boolean","false","ACTIVE","Runtime AI credentials, provider selection and preparation switches.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/ai-connector.ts:40","0105_flowery_doctor_spectrum","apps/api/src/pipeline/conversion-analysis.ts:33; apps/api/src/modules/ai-connector/routes.ts:97","","apps/api/src/pipeline/conversion-analysis.ts:33; apps/api/src/modules/ai-connector/routes.ts:97",""
"ai_connector","contract_preparation","contractPreparation","boolean","false","ACTIVE","Runtime AI credentials, provider selection and preparation switches.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/ai-connector.ts:41","0104_contract_preparation","apps/api/src/lib/conversion-draft.ts:66; apps/api/src/modules/ai-connector/routes.ts:96","","apps/api/src/lib/conversion-draft.ts:66; apps/api/src/modules/ai-connector/routes.ts:96",""
"ai_connector","matter_preparation","matterPreparation","boolean","false","ACTIVE","Runtime AI credentials, provider selection and preparation switches.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/ai-connector.ts:42","0102_high_leo","apps/api/src/lib/conversion-draft.ts:66; apps/api/src/modules/ai-connector/routes.ts:95","","apps/api/src/lib/conversion-draft.ts:66; apps/api/src/modules/ai-connector/routes.ts:95",""
"ai_connector","disabled_at","disabledAt","timestamp with time zone","true","ACTIVE","Runtime AI credentials, provider selection and preparation switches.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/ai-connector.ts:43","0085_loud_scourge","apps/api/src/lib/conversion-draft.ts:67; apps/api/src/lib/ai/resolver.ts:20; apps/api/src/pipeline/conversion-analysis.ts:33; apps/api/src/modules/ai-connector/routes.ts:99; apps/api/src/modules/ai-connector/routes.ts:105","apps/api/src/modules/ai-connector/routes.ts:401; apps/api/src/modules/ai-connector/routes.ts:435","apps/api/src/lib/conversion-draft.ts:67; apps/api/src/lib/ai/resolver.ts:20; apps/api/src/pipeline/conversion-analysis.ts:33; apps/api/src/modules/ai-connector/routes.ts:99",""
"ai_connector","created_at","createdAt","timestamp with time zone","false","PASSIVE_METADATA","Runtime AI credentials, provider selection and preparation switches.","Stamped on insertion. No application reader identified after projections and generic helpers were checked. Retained by schema timestamp convention; not proven functionally integral.","packages/db/src/schema/ai-connector.ts:44","0085_loud_scourge","","","packages/db/src/schema/ai-connector.ts:44; docs/decision-records/SCHEMA.md:18",""
"ai_connector","updated_at","updatedAt","timestamp with time zone","false","ACTIVE","Runtime AI credentials, provider selection and preparation switches.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/ai-connector.ts:45","0085_loud_scourge","apps/api/src/lib/ai/resolver.ts:33; apps/api/src/modules/ai-connector/routes.ts:106","apps/api/src/modules/ai-connector/routes.ts:273; apps/api/src/modules/ai-connector/routes.ts:401; apps/api/src/modules/ai-connector/routes.ts:435","apps/api/src/lib/ai/resolver.ts:33; apps/api/src/modules/ai-connector/routes.ts:106",""
"ai_field_prompts","slug","slug","text","false","ACTIVE","Administrator overrides of the shipped extraction prompts.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/contract-analysis.ts:25","0086_free_invisible_woman","apps/api/src/modules/ai-field-prompts/routes.ts:60; apps/api/src/modules/ai-field-prompts/routes.ts:89; apps/api/src/modules/ai-field-prompts/routes.ts:95; apps/api/src/modules/ai-field-prompts/routes.ts:111; apps/api/src/lib/analysis-targets.ts:56","apps/api/src/modules/ai-field-prompts/routes.ts:109","apps/api/src/modules/ai-field-prompts/routes.ts:60; apps/api/src/modules/ai-field-prompts/routes.ts:89; apps/api/src/modules/ai-field-prompts/routes.ts:95; apps/api/src/modules/ai-field-prompts/routes.ts:111","primary_key:ai_field_prompts_pkey"
"ai_field_prompts","prompt","prompt","text","false","ACTIVE","Administrator overrides of the shipped extraction prompts.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/contract-analysis.ts:26","0086_free_invisible_woman","apps/api/src/lib/analysis-targets.ts:56; apps/api/src/modules/ai-field-prompts/routes.ts:38; apps/api/src/modules/ai-field-prompts/routes.ts:106","apps/api/src/modules/ai-field-prompts/routes.ts:109","apps/api/src/lib/analysis-targets.ts:56; apps/api/src/modules/ai-field-prompts/routes.ts:38; apps/api/src/modules/ai-field-prompts/routes.ts:106",""
"ai_field_prompts","updated_at","updatedAt","timestamp with time zone","false","PASSIVE_METADATA","Administrator overrides of the shipped extraction prompts.","Automatically refreshed by Drizzle. No application reader identified after projections and generic helpers were checked. Retained by schema timestamp convention; not proven functionally integral.","packages/db/src/schema/contract-analysis.ts:27","0086_free_invisible_woman","","","packages/db/src/schema/contract-analysis.ts:27; docs/decision-records/SCHEMA.md:18",""
"approver_group_members","group_id","groupId","text","false","ACTIVE","Reusable approval-group membership snapshots at application time.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/approver-groups.ts:74","0039_approver_groups","apps/api/src/modules/contract-approvals/routes.ts:621; apps/api/src/modules/approver-groups/routes.ts:131; apps/api/src/modules/approver-groups/routes.ts:138; apps/api/src/modules/approver-groups/routes.ts:382; apps/api/src/modules/approver-groups/routes.ts:392","","apps/api/src/modules/contract-approvals/routes.ts:621; apps/api/src/modules/approver-groups/routes.ts:131; apps/api/src/modules/approver-groups/routes.ts:138; apps/api/src/modules/approver-groups/routes.ts:382","foreign_key:approver_group_members_group_id_approver_groups_id_fk; primary_key:approver_group_members_pkey"
"approver_group_members","user_id","userId","text","false","ACTIVE","Reusable approval-group membership snapshots at application time.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/approver-groups.ts:81","0039_approver_groups","apps/api/src/modules/contract-approvals/routes.ts:620; apps/api/src/modules/approver-groups/routes.ts:137; apps/api/src/modules/approver-groups/routes.ts:377; apps/api/src/modules/approver-groups/routes.ts:381; apps/api/src/modules/approver-groups/routes.ts:394","","apps/api/src/modules/contract-approvals/routes.ts:620; apps/api/src/modules/approver-groups/routes.ts:137; apps/api/src/modules/approver-groups/routes.ts:377; apps/api/src/modules/approver-groups/routes.ts:381","index:approver_group_members_user_idx; foreign_key:approver_group_members_user_id_users_id_fk; primary_key:approver_group_members_pkey"
"approver_group_members","created_at","createdAt","timestamp with time zone","false","PASSIVE_METADATA","Reusable approval-group membership snapshots at application time.","Stamped on insertion. No application reader identified after projections and generic helpers were checked. Retained by schema timestamp convention; not proven functionally integral.","packages/db/src/schema/approver-groups.ts:86","0039_approver_groups","","","packages/db/src/schema/approver-groups.ts:86; docs/decision-records/SCHEMA.md:18",""
"approver_groups","id","id","text","false","ACTIVE","Named reusable approval groups and their archive state.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/approver-groups.ts:27","0039_approver_groups","apps/api/src/modules/contract-approvals/routes.ts:253; apps/api/src/modules/contract-approvals/routes.ts:598; apps/api/src/modules/contract-approvals/routes.ts:603; apps/api/src/modules/approver-groups/routes.ts:158; apps/api/src/modules/approver-groups/routes.ts:315","","apps/api/src/modules/contract-approvals/routes.ts:253; apps/api/src/modules/contract-approvals/routes.ts:598; apps/api/src/modules/contract-approvals/routes.ts:603; apps/api/src/modules/approver-groups/routes.ts:158","primary_key:approver_groups_pkey"
"approver_groups","name","name","text","false","ACTIVE","Named reusable approval groups and their archive state.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/approver-groups.ts:30","0039_approver_groups","apps/api/src/modules/contract-approvals/routes.ts:243; apps/api/src/modules/contract-approvals/routes.ts:599; apps/api/src/modules/approver-groups/routes.ts:203; apps/api/src/modules/contracts/routes.ts:1829; apps/api/src/modules/contracts/routes.ts:1837","apps/api/src/modules/approver-groups/routes.ts:240","apps/api/src/modules/contract-approvals/routes.ts:243; apps/api/src/modules/contract-approvals/routes.ts:599; apps/api/src/modules/approver-groups/routes.ts:203; apps/api/src/modules/contracts/routes.ts:1829","index:approver_groups_name_idx"
"approver_groups","description","description","text","true","ACTIVE","Named reusable approval groups and their archive state.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/approver-groups.ts:32","0039_approver_groups","apps/api/src/modules/approver-groups/routes.ts:113; apps/api/src/modules/approver-groups/routes.ts:304; apps/api/src/modules/approver-groups/routes.ts:340","apps/api/src/modules/approver-groups/routes.ts:240","apps/api/src/modules/approver-groups/routes.ts:113; apps/api/src/modules/approver-groups/routes.ts:304; apps/api/src/modules/approver-groups/routes.ts:340",""
"approver_groups","archived_at","archivedAt","timestamp with time zone","true","ACTIVE","Named reusable approval groups and their archive state.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/approver-groups.ts:35","0039_approver_groups","apps/api/src/modules/contract-approvals/routes.ts:600; apps/api/src/modules/approver-groups/routes.ts:201; apps/api/src/modules/contracts/routes.ts:1835; apps/api/src/modules/approver-groups/routes.ts:114; apps/api/src/modules/approver-groups/routes.ts:463","apps/api/src/modules/approver-groups/routes.ts:466; apps/api/src/modules/approver-groups/routes.ts:503","apps/api/src/modules/contract-approvals/routes.ts:600; apps/api/src/modules/approver-groups/routes.ts:201; apps/api/src/modules/contracts/routes.ts:1835; apps/api/src/modules/approver-groups/routes.ts:114","index:approver_groups_name_idx"
"approver_groups","created_at","createdAt","timestamp with time zone","false","ACTIVE","Named reusable approval groups and their archive state.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/approver-groups.ts:36","0039_approver_groups","apps/api/src/modules/approver-groups/routes.ts:203; apps/api/src/modules/contracts/routes.ts:1838","","apps/api/src/modules/approver-groups/routes.ts:203; apps/api/src/modules/contracts/routes.ts:1838",""
"approver_groups","updated_at","updatedAt","timestamp with time zone","false","PASSIVE_METADATA","Named reusable approval groups and their archive state.","Automatically refreshed by Drizzle. No application reader identified after projections and generic helpers were checked. Retained by schema timestamp convention; not proven functionally integral.","packages/db/src/schema/approver-groups.ts:39","0039_approver_groups","","","packages/db/src/schema/approver-groups.ts:39; docs/decision-records/SCHEMA.md:18",""
"comment_attachments","id","id","text","false","ACTIVE","Immutable comment paper, downloads, filing markers and conversion evidence.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/comment-attachments.ts:23","0068_glorious_mockingbird","apps/api/src/lib/conversion-draft.ts:191; apps/api/src/lib/conversion-source-privacy.ts:34; apps/api/src/pipeline/conversion-analysis.ts:122; apps/api/src/modules/comments/routes.ts:463; apps/api/src/modules/comments/routes.ts:483","","apps/api/src/lib/conversion-draft.ts:191; apps/api/src/lib/conversion-source-privacy.ts:34; apps/api/src/pipeline/conversion-analysis.ts:122; apps/api/src/modules/comments/routes.ts:463","index:comment_attachments_comment_idx; foreign_key:comment_attachments_comment_id_comments_id_fk; foreign_key:comment_attachments_uploaded_by_users_id_fk; foreign_key:comment_attachments_filed_version_fk; primary_key:comment_attachments_pkey"
"comment_attachments","comment_id","commentId","text","false","ACTIVE","Immutable comment paper, downloads, filing markers and conversion evidence.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/comment-attachments.ts:24","0068_glorious_mockingbird","apps/api/src/lib/conversion-draft.ts:187; apps/api/src/pipeline/conversion-analysis.ts:124; apps/api/src/modules/comments/routes.ts:462; apps/api/src/modules/comments/routes.ts:482; apps/api/src/modules/comments/routes.ts:1162","","apps/api/src/lib/conversion-draft.ts:187; apps/api/src/pipeline/conversion-analysis.ts:124; apps/api/src/modules/comments/routes.ts:462; apps/api/src/modules/comments/routes.ts:482","index:comment_attachments_comment_idx; foreign_key:comment_attachments_comment_id_comments_id_fk"
"comment_attachments","file_ref","fileRef","text","false","ACTIVE","Immutable comment paper, downloads, filing markers and conversion evidence.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/comment-attachments.ts:28","0068_glorious_mockingbird","apps/api/src/modules/comments/routes.ts:1151; apps/api/src/modules/comments/routes.ts:1582; apps/api/src/modules/comments/routes.ts:1799; apps/api/src/lib/conversion-draft.ts:197; apps/api/src/lib/conversion-draft.ts:198","","apps/api/src/modules/comments/routes.ts:1151; apps/api/src/modules/comments/routes.ts:1582; apps/api/src/modules/comments/routes.ts:1799; apps/api/src/lib/conversion-draft.ts:197",""
"comment_attachments","filename","filename","text","false","ACTIVE","Immutable comment paper, downloads, filing markers and conversion evidence.","Current runtime query, row projection, filtering, authorization or processing reads this field; see evidence and table purpose.","packages/db/src/schema/comment-attachments.ts:30","0068_glorious_mockingbird","apps/api/src/modules/comments/routes.ts:464; apps/api/src/modules/comments/routes.ts:1152; apps/api/src/modules/comments/routes.ts:1304; apps/api/src/modules/comments/routes.ts:1583; apps/api/src/lib/conversion-draft.ts:196","","apps/api/src/modules/comments/routes.ts:464; apps/api/src/modules/comments/routes.ts:1152; apps/api/src/modules/comments/routes.ts:1304; apps/api/src/modules/comments/routes.ts:1583",""
