"table","columns","disposition","purpose","schema","runtime_evidence","column_exceptions"
"comments","11","RETAIN","Audience-filtered record/task/document threads and edits/deletions.","packages/db/src/schema/comments.ts:58","apps/api/src/lib/conversion-draft.ts:128; apps/api/src/lib/conversion-draft.ts:145; apps/api/src/pipeline/conversion-analysis.ts:117; apps/api/src/pipeline/conversion-analysis.ts:124","updated_at=PASSIVE_METADATA"
"contract_analysis_runs","17","RETAIN","Durable analysis queue state, lease recovery, results and source evidence.","packages/db/src/schema/contract-analysis.ts:34","apps/api/src/pipeline/contract-analysis.ts:372; apps/api/src/pipeline/contract-analysis.ts:595; apps/api/src/pipeline/contract-analysis.ts:631; apps/api/src/pipeline/contract-analysis.ts:648","created_at=PASSIVE_METADATA; updated_at=PASSIVE_METADATA"
"contract_approvals","11","RETAIN","Approval requests, actor decisions, notes and group provenance.","packages/db/src/schema/contract-approvals.ts:50","apps/api/src/lib/soft-gate.ts:94; apps/api/src/lib/soft-gate.ts:107; apps/api/src/modules/contract-approvals/routes.ts:207; apps/api/src/modules/contract-approvals/routes.ts:219","updated_at=PASSIVE_METADATA"
"contract_counterparties","4","RETAIN","Contract-party links and the primary counterparty designation.","packages/db/src/schema/contract-counterparties.ts:30","apps/api/src/pipeline/contract-analysis.ts:534; apps/api/src/modules/portal/contracts.ts:135; apps/api/src/modules/documents/repository.ts:283; apps/api/src/modules/documents/repository.ts:464",""
"contract_envelope_signers","6","RETAIN","Snapshot of people named on an electronic signing envelope.","packages/db/src/schema/contract-envelopes.ts:220","apps/api/src/lib/signer-erasure.ts:138; apps/api/src/lib/signer-erasure.ts:163; apps/api/src/modules/contract-envelopes/routes.ts:390; apps/api/src/modules/contract-envelopes/routes.ts:397","created_at=PASSIVE_METADATA"
"contract_envelopes","15","RETAIN","Signing lifecycle, polling reconciliation and executed-copy retrieval.","packages/db/src/schema/contract-envelopes.ts:74","apps/api/src/pipeline/reconciliation.ts:232; apps/api/src/pipeline/reconciliation.ts:244; apps/api/src/pipeline/reconciliation.ts:247; apps/api/src/pipeline/reconciliation.ts:308","created_at=PASSIVE_METADATA; updated_at=PASSIVE_METADATA"
"contract_key_dates","9","RETAIN","Named contract dates and per-date reminder configuration.","packages/db/src/schema/contract-key-dates.ts:40","apps/api/src/lib/key-date-reminders.ts:135; apps/api/src/lib/key-date-reminders.ts:140; apps/api/src/pipeline/morning-round.ts:635; apps/api/src/modules/home/sections/dates.ts:145","created_at=PASSIVE_METADATA; updated_at=PASSIVE_METADATA"
"contract_relations","4","RETAIN","Typed cross-contract relationships.","packages/db/src/schema/contract-relations.ts:56","apps/api/src/lib/contract-relations.ts:182; apps/api/src/lib/contract-relations.ts:187; apps/api/src/lib/contract-relations.ts:237; apps/api/src/lib/contract-relations.ts:242",""
"contract_stakeholders","3","ACTIVE_ON_DEV_RETIRED_IN_PORTAL","Additional Business User portal access in dev; retired by pending Portal migration 0109.","packages/db/src/schema/contract-stakeholders.ts:8","apps/api/src/lib/portal-contract-access.ts:28; apps/api/src/modules/contract-stakeholders/routes.ts:36; apps/api/src/modules/contract-stakeholders/routes.ts:145; apps/api/src/lib/portal-contract-access.ts:30","created_at=PASSIVE_METADATA"
"contract_statuses","9","RETAIN","Configurable workflow statuses mapped to fixed contract stages.","packages/db/src/schema/contract-statuses.ts:38","apps/api/src/pipeline/executed-copy.ts:508; apps/api/src/pipeline/executed-copy.ts:517; apps/api/src/modules/entities/linked-records.ts:91; apps/api/src/modules/home/sections/dates.ts:158","is_system_default=REVIEW_API_ONLY; updated_at=PASSIVE_METADATA"
"contract_tasks","10","RETAIN","Assignable ordered contract tasks and due dates.","packages/db/src/schema/contract-tasks.ts:44","apps/api/src/modules/home/sections/tasks.ts:115; apps/api/src/modules/contract-tasks/routes.ts:125; apps/api/src/modules/contract-tasks/routes.ts:149; apps/api/src/modules/contract-tasks/routes.ts:159","created_at=PASSIVE_METADATA; updated_at=PASSIVE_METADATA"
"contract_team","4","RETAIN","Role-tagged contract membership and authorization in dev.","packages/db/src/schema/contract-team.ts:30","apps/api/src/lib/task-assignment.ts:39; apps/api/src/lib/contract-access.ts:115; apps/api/src/lib/contract-access.ts:341; apps/api/src/lib/contract-access.ts:540","created_at=PASSIVE_METADATA"
"contract_type_fields","5","RETAIN","Contract Type field attachments, ordering and required-field validation.","packages/db/src/schema/contract-type-fields.ts:21","apps/api/src/lib/analysis-targets.ts:48; apps/api/src/pipeline/conversion-analysis.ts:113; apps/api/src/lib/analysis-targets.ts:45; apps/api/src/pipeline/conversion-analysis.ts:112",""
"contract_types","9","RETAIN","Configurable Contract Types and field/record association.","packages/db/src/schema/contract-types.ts:17","apps/api/src/pipeline/conversion-analysis.ts:105; apps/api/src/pipeline/conversion-analysis.ts:107; apps/api/src/modules/requests/projection.ts:133; apps/api/src/modules/requests/projection.ts:560","is_system_default=REVIEW_API_ONLY; updated_at=PASSIVE_METADATA"
"contracts","31","RETAIN","Contract record, lifecycle, ownership, commercial terms and AI confirmation state.","packages/db/src/schema/contracts.ts:88","apps/api/src/lib/portal-contract-access.ts:26; apps/api/src/lib/contract-access.ts:113; apps/api/src/lib/contract-access.ts:299; apps/api/src/lib/contract-access.ts:333",""
"conversion_drafts","18","RETAIN","Actor-scoped, source-versioned AI preparation and retained conversion citations.","packages/db/src/schema/conversion-drafts.ts:10","apps/api/src/pipeline/conversion-draft.ts:34; apps/api/src/pipeline/conversion-draft.ts:54; apps/api/src/pipeline/conversion-draft.ts:93; apps/api/src/pipeline/conversion-draft.ts:160","model=PROVENANCE_ONLY; created_at=PASSIVE_METADATA; finished_at=PROVENANCE_ONLY; updated_at=PASSIVE_METADATA"
"counterparties","11","RETAIN","External contract parties, matching, typeahead and search.","packages/db/src/schema/counterparties.ts:27","apps/api/src/lib/counterparty-link.ts:40; apps/api/src/lib/counterparty-link.ts:58; apps/api/src/pipeline/contract-analysis.ts:520; apps/api/src/modules/portal/contracts.ts:139","jurisdiction=DORMANT_WRITER; primary_contact_name=REMOVE_CANDIDATE; primary_contact_email=REMOVE_CANDIDATE; address=REMOVE_CANDIDATE; notes=REMOVE_CANDIDATE; updated_at=PASSIVE_METADATA; archived_at=DORMANT_WRITER"
"document_comparisons","13","RETAIN","Durable version-pair comparisons, recovery, visual/text changes and exports.","packages/db/src/schema/document-comparisons.ts:38","apps/api/src/pipeline/document-comparison.ts:74; apps/api/src/pipeline/document-comparison.ts:92; apps/api/src/pipeline/document-comparison.ts:93; apps/api/src/pipeline/document-comparison.ts:114","requested_by=PROVENANCE_ONLY"
"document_folders","8","RETAIN","Owner-scoped hierarchical filing for contract/matter/entity documents.","packages/db/src/schema/document-folders.ts:47","apps/api/src/modules/documents/routes.ts:1051; apps/api/src/modules/documents/folders.ts:288; apps/api/src/modules/documents/folders.ts:296; apps/api/src/modules/documents/folders.ts:665",""
"document_version_rendition","6","RETAIN","Durable office-to-PDF conversion state and preview blobs.","packages/db/src/schema/document-rendition.ts:52","apps/api/src/pipeline/backfill.ts:263; apps/api/src/pipeline/display-conversion.ts:109; apps/api/src/pipeline/display-conversion.ts:134; apps/api/src/modules/portal/contracts.ts:336","created_at=PASSIVE_METADATA"
"document_version_text","8","RETAIN","Durable extraction state, email subjects, searchable text and AI/comparison input.","packages/db/src/schema/document-text.ts:84","apps/api/src/pipeline/contract-analysis.ts:125; apps/api/src/pipeline/contract-analysis.ts:147; apps/api/src/pipeline/automatic-contract-analysis.ts:122; apps/api/src/pipeline/automatic-contract-analysis.ts:126","created_at=PASSIVE_METADATA"
"document_versions","15","RETAIN","Immutable original/generated version chain and byte/provenance metadata.","packages/db/src/schema/documents.ts:306","apps/api/src/lib/conversion-source-privacy.ts:31; apps/api/src/lib/document-versions.ts:168; apps/api/src/pipeline/contract-analysis.ts:113; apps/api/src/pipeline/contract-analysis.ts:147","checksum_sha256=INTEGRITY_METADATA"
"documents","15","RETAIN","Owned document identity, confidentiality, archive and executed-version designation.","packages/db/src/schema/documents.ts:129","apps/api/src/lib/contract-access.ts:620; apps/api/src/pipeline/contract-analysis.ts:102; apps/api/src/pipeline/contract-analysis.ts:146; apps/api/src/pipeline/conversion-analysis.ts:143",""
"entities","20","RETAIN","Corporate entity identity, capital details, custom fields and confidentiality.","packages/db/src/schema/entities.ts:37","apps/api/src/lib/entity-access.ts:38; apps/api/src/lib/entity-access.ts:79; apps/api/src/lib/entity-access.ts:99; apps/api/src/lib/entity-access.ts:101",""
"entity_grants","3","RETAIN","Explicit readers of confidential corporate entities.","packages/db/src/schema/entity-grants.ts:8","apps/api/src/lib/entity-access.ts:40; apps/api/src/lib/entity-access.ts:123; apps/api/src/lib/entity-access.ts:140; apps/api/src/lib/notifications/audience.ts:192","created_at=PASSIVE_METADATA"
"entity_holdings","5","RETAIN","Ownership graph with percentages and cycle/range rules.","packages/db/src/schema/entity-holdings.ts:8","apps/api/src/modules/entities/holding-routes.ts:97; apps/api/src/modules/entities/holding-routes.ts:150; apps/api/src/modules/entities/holding-routes.ts:161; apps/api/src/modules/entities/holding-routes.ts:165",""
"entity_obligations","12","RETAIN","Entity compliance work, recurrence, assignments and linked matters.","packages/db/src/schema/entity-obligations.ts:12","apps/api/src/pipeline/morning-round.ts:708; apps/api/src/modules/entities/obligation-routes.ts:154; apps/api/src/modules/entities/obligation-routes.ts:300; apps/api/src/modules/entities/obligation-routes.ts:363",""
"entity_officers","9","RETAIN","Officer appointments, resignation dates and optional internal user link.","packages/db/src/schema/entity-officers.ts:10","apps/api/src/modules/entities/record-routes.ts:75; apps/api/src/modules/entities/record-routes.ts:82; apps/api/src/modules/entities/record-routes.ts:255; apps/api/src/modules/entities/record-routes.ts:304",""
"entity_registrations","8","RETAIN","Jurisdiction-specific registrations and agents.","packages/db/src/schema/entity-registrations.ts:12","apps/api/src/modules/entities/record-routes.ts:527; apps/api/src/modules/entities/record-routes.ts:559; apps/api/src/modules/entities/record-routes.ts:594; apps/api/src/modules/entities/record-routes.ts:601",""
"entity_type_fields","5","RETAIN","Entity Type field attachments, ordering and required-field validation.","packages/db/src/schema/entity-type-fields.ts:8","apps/api/src/lib/type-field-routes.ts:149",""
"entity_types","9","RETAIN","Configurable corporate Entity Types.","packages/db/src/schema/entity-types.ts:23","apps/api/src/modules/entities/holding-routes.ts:325; apps/api/src/modules/entities/routes.ts:271; apps/api/src/modules/entities/routes.ts:340; apps/api/src/modules/entities/routes.ts:451","is_system_default=REVIEW_API_ONLY; updated_at=PASSIVE_METADATA"
"fields","12","RETAIN","Custom-field catalog, type/options, audience tags and AI prompts.","packages/db/src/schema/fields.ts:74","apps/api/src/lib/type-field-routes.ts:243; apps/api/src/lib/type-field-routes.ts:298; apps/api/src/lib/type-field-routes.ts:462; apps/api/src/lib/type-field-routes.ts:516","updated_at=PASSIVE_METADATA"
"intake_links","8","RETAIN","Ordered portal links to URLs, knowledge or request forms.","packages/db/src/schema/intake-links.ts:42","apps/api/src/modules/portal/routes.ts:242; apps/api/src/modules/portal/routes.ts:310; apps/api/src/modules/intake-links/routes.ts:127; apps/api/src/modules/intake-links/routes.ts:417","updated_at=PASSIVE_METADATA"
"knowledge_folders","6","RETAIN","Knowledge-library hierarchy and presentation order.","packages/db/src/schema/knowledge-folders.ts:20","apps/api/src/modules/documents/routes.ts:1648; apps/api/src/modules/documents/routes.ts:1650; apps/api/src/modules/knowledge/routes.ts:258; apps/api/src/modules/knowledge/routes.ts:298",""
"knowledge_items","16","RETAIN","Published/draft knowledge, audience, content, replacements and owned paper.","packages/db/src/schema/knowledge-items.ts:18","apps/api/src/pipeline/morning-round.ts:842; apps/api/src/pipeline/morning-round.ts:857; apps/api/src/modules/audit-log/routes.ts:468; apps/api/src/modules/audit-log/routes.ts:470",""
"knowledge_types","9","RETAIN","Configurable knowledge classifications.","packages/db/src/schema/knowledge-types.ts:7","apps/api/src/modules/documents/routes.ts:1623; apps/api/src/modules/documents/routes.ts:1625; apps/api/src/modules/knowledge/routes.ts:257; apps/api/src/modules/knowledge/routes.ts:280","is_system_default=REVIEW_API_ONLY; updated_at=PASSIVE_METADATA"
"list_views","8","RETAIN","Saved per-user list configurations and default view selection.","packages/db/src/schema/list-views.ts:41","apps/api/src/modules/list-views/routes.ts:126; apps/api/src/modules/list-views/routes.ts:164; apps/api/src/modules/list-views/routes.ts:192; apps/api/src/modules/list-views/routes.ts:263","created_at=PASSIVE_METADATA; updated_at=PASSIVE_METADATA"
"matter_key_dates","9","RETAIN","Named matter dates and per-date reminders.","packages/db/src/schema/matter-key-dates.ts:9","apps/api/src/lib/key-date-reminders.ts:145; apps/api/src/lib/key-date-reminders.ts:150; apps/api/src/pipeline/morning-round.ts:678; apps/api/src/modules/home/sections/dates.ts:212","created_at=PASSIVE_METADATA; updated_at=PASSIVE_METADATA"
"matter_relations","4","RETAIN","Canonical undirected links between matters.","packages/db/src/schema/matter-relations.ts:9","apps/api/src/lib/matter-relations.ts:88; apps/api/src/lib/matter-relations.ts:107; apps/api/src/modules/matter-relations/routes.ts:126; apps/api/src/modules/matter-relations/routes.ts:130","created_by=PROVENANCE_ONLY"
"matter_statuses","10","RETAIN","Configurable matter statuses, open/closed categories and progression groups.","packages/db/src/schema/matter-statuses.ts:21","apps/api/src/pipeline/morning-round.ts:684; apps/api/src/modules/entities/linked-records.ts:135; apps/api/src/modules/home/sections/dates.ts:225; apps/api/src/modules/home/sections/tasks.ts:150","is_system_default=REVIEW_API_ONLY; updated_at=PASSIVE_METADATA"
"matter_tasks","10","RETAIN","Assignable ordered matter tasks and due dates.","packages/db/src/schema/matter-tasks.ts:19","apps/api/src/modules/home/sections/tasks.ts:139; apps/api/src/modules/matter-tasks/create.ts:80; apps/api/src/modules/matter-tasks/routes.ts:71; apps/api/src/modules/matter-tasks/routes.ts:84","created_at=PASSIVE_METADATA; updated_at=PASSIVE_METADATA"
"matter_team","4","RETAIN","Role-tagged matter membership and authorization in dev.","packages/db/src/schema/matter-team.ts:12","apps/api/src/lib/task-assignment.ts:39; apps/api/src/lib/matter-access.ts:37; apps/api/src/lib/matter-access.ts:103; apps/api/src/lib/matter-access.ts:144","created_at=PASSIVE_METADATA"
"matter_template_key_dates","6","RETAIN","Template date labels/notes and offsets expanded at matter creation.","packages/db/src/schema/matter-templates.ts:109","apps/api/src/modules/matters/create.ts:111; apps/api/src/modules/matter-templates/routes.ts:192; apps/api/src/modules/matter-templates/routes.ts:606; apps/api/src/modules/matter-templates/routes.ts:127",""
"matter_template_tasks","6","RETAIN","Template tasks and relative due dates/assignee roles.","packages/db/src/schema/matter-templates.ts:74","apps/api/src/modules/matters/create.ts:106; apps/api/src/modules/matter-templates/routes.ts:183; apps/api/src/modules/matter-templates/routes.ts:543; apps/api/src/modules/matter-templates/routes.ts:117",""
"matter_templates","11","RETAIN","Reusable matter defaults with task/date templates.","packages/db/src/schema/matter-templates.ts:26","apps/api/src/modules/matters/create.ts:89; apps/api/src/modules/matter-templates/routes.ts:233; apps/api/src/modules/matter-templates/routes.ts:319; apps/api/src/modules/matter-templates/routes.ts:444","updated_at=PASSIVE_METADATA"
"matter_type_fields","5","RETAIN","Matter Type field attachments, ordering and required-field validation.","packages/db/src/schema/matter-type-fields.ts:18","apps/api/src/modules/matters/routes.ts:375; apps/api/src/modules/matter-templates/routes.ts:195; apps/api/src/modules/matter-templates/routes.ts:198; apps/api/src/modules/matters/routes.ts:374",""
"matter_types","9","RETAIN","Configurable Matter Types.","packages/db/src/schema/matter-types.ts:18","apps/api/src/modules/matters/create.ts:72; apps/api/src/modules/matters/create.ts:77; apps/api/src/modules/matters/routes.ts:241; apps/api/src/modules/matters/routes.ts:350","is_system_default=REVIEW_API_ONLY; updated_at=PASSIVE_METADATA"
"matters","20","RETAIN","Matter lifecycle, hierarchy, ownership, custom fields and confidentiality.","packages/db/src/schema/matters.ts:25","apps/api/src/lib/matter-relations.ts:45; apps/api/src/lib/matter-relations.ts:55; apps/api/src/lib/matter-relations.ts:63; apps/api/src/lib/matter-relations.ts:64","created_by=KEEP_PORTAL_DEPENDENCY"
"notification_preferences","6","RETAIN","Per-user event/channel overrides used by delivery policy.","packages/db/src/schema/notifications.ts:319","apps/api/src/lib/notifications/preferences.ts:81; apps/api/src/lib/notifications/preferences.ts:88; apps/api/src/lib/notifications/preferences.ts:123; apps/api/src/lib/notifications/preferences.ts:147","created_at=PASSIVE_METADATA; updated_at=PASSIVE_METADATA"
"notifications","13","RETAIN","In-app inbox, durable email outbox and reminder deduplication.","packages/db/src/schema/notifications.ts:174","apps/api/src/pipeline/notification-email.ts:155; apps/api/src/pipeline/notification-email.ts:177; apps/api/src/pipeline/notification-email.ts:192; apps/api/src/pipeline/morning-round.ts:885",""
"officer_roles","9","RETAIN","Configurable officer role taxonomy.","packages/db/src/schema/officer-roles.ts:7","apps/api/src/modules/entities/record-routes.ts:97; apps/api/src/modules/entities/record-routes.ts:133; apps/api/src/modules/entities/record-routes.ts:138; apps/api/src/modules/entities/record-routes.ts:395","is_system_default=REVIEW_API_ONLY; updated_at=PASSIVE_METADATA"
"org_settings","16","RETAIN","Singleton identity, authentication, locale, SMTP, reminders and onboarding settings.","packages/db/src/schema/org.ts:18","packages/db/src/rewrap.ts:85; apps/api/src/modules/auth/routes.ts:876; apps/api/src/modules/auth/routes.ts:885; apps/api/src/modules/auth/routes.ts:946","created_at=PASSIVE_METADATA; updated_at=PASSIVE_METADATA"
"request_attachments","7","RETAIN","Original intake paper, downloads and promoted-version evidence links.","packages/db/src/schema/request-attachments.ts:34","apps/api/src/lib/conversion-draft.ts:171; apps/api/src/lib/conversion-source-privacy.ts:30; apps/api/src/pipeline/automatic-contract-analysis.ts:94; apps/api/src/modules/requests/projection.ts:252","uploaded_by=PROVENANCE_ONLY"
"request_type_fields","5","RETAIN","Request Type form fields, ordering and required-field validation.","packages/db/src/schema/request-type-fields.ts:33","apps/api/src/lib/conversion-draft.ts:86; apps/api/src/modules/request-types/form-definition.ts:121; apps/api/src/modules/request-types/form-definition.ts:162; apps/api/src/modules/request-types/form-definition.ts:165",""
"request_types","13","RETAIN","Portal intake forms, conversion destinations and turnaround estimates.","packages/db/src/schema/request-types.ts:43","apps/api/src/modules/home/sections/inbox.ts:54; apps/api/src/modules/home/sections/inbox.ts:62; apps/api/src/modules/portal/routes.ts:205; apps/api/src/modules/portal/routes.ts:294","is_system_default=REVIEW_API_ONLY; updated_at=PASSIVE_METADATA"
"requests","18","RETAIN","Intake queue, ownership, assignment, estimated return and disposition links.","packages/db/src/schema/requests.ts:63","apps/api/src/lib/conversion-draft.ts:78; apps/api/src/modules/comments/audience.ts:387; apps/api/src/modules/comments/audience.ts:395; apps/api/src/modules/comments/audience.ts:469","updated_at=PASSIVE_METADATA"
"sessions","9","RETAIN","Better Auth server sessions, expiry and client metadata.","packages/db/src/schema/auth.ts:81","apps/api/src/modules/users/routes.ts:334; apps/api/src/auth/guards.ts:74; apps/api/src/modules/users/routes.ts:245; apps/api/src/modules/users/routes.ts:333",""
"signing_connectors","12","RETAIN","Runtime signing provider credentials and polling/webhook configuration.","packages/db/src/schema/signing-connectors.ts:54","packages/db/src/rewrap.ts:83; packages/db/src/rewrap.ts:84; apps/api/src/modules/onboarding/routes.ts:105; apps/api/src/modules/signing-connector/routes.ts:314","created_at=PASSIVE_METADATA"
"sso_providers","11","RETAIN","Administrator-registered IdPs and encrypted OIDC configuration.","packages/db/src/schema/auth.ts:181","packages/db/src/rewrap.ts:86; apps/api/src/modules/auth/routes.ts:616; apps/api/src/modules/auth/routes.ts:750; apps/api/src/modules/auth/routes.ts:780","updated_at=PASSIVE_METADATA"
"two_factors","9","RETAIN","Better Auth TOTP credentials, recovery codes and account lockout.","packages/db/src/schema/auth.ts:216","apps/api/src/auth/instance.ts:400","created_at=PASSIVE_METADATA; updated_at=UNMAINTAINED_CANDIDATE"
"users","16","RETAIN","People, roles, authentication flags and personal settings.","packages/db/src/schema/auth.ts:35","apps/api/src/lib/approvers.ts:60; apps/api/src/lib/approvers.ts:67; apps/api/src/lib/task-assignment.ts:33; apps/api/src/lib/matter-access.ts:180",""
"verifications","6","RETAIN","Short-lived magic-link and password-reset verification state.","packages/db/src/schema/auth.ts:238","apps/api/src/modules/auth/routes.ts:529",""
